package_name,version
com.lihaoyi:mill-contrib-playlib_2.13,0.9.5-65-baa291
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt.ui,5.18.207
com.github.braisdom:springboot,1.0.0-2.2.10.RELEASE
it.unibo.tuprolog:repl-js,0.11.3
software.amazon.awssdk:accessanalyzer,2.16.5
org.opendaylight.mdsal:mdsal-eos-dom-simple,7.0.4
org.springframework:spring-expression,5.3.0
com.yahoo.vespa:config-provisioning,7.326.17
org.wso2.carbon.identity.framework:authentication-framework,5.19.47
org.xwiki.commons:xwiki-commons-observation-api,12.10.5
org.wso2.carbon.mediation:mediators-ui,4.7.79
com.daml:build-info_2.12,1.8.0-snapshot.20201208.5840.0.38455e8c
it.unibo.tuprolog:solve-classic-jvm,0.14.11
com.gubbns:uritemplate4s_sjs1_2.13,0.5.9
io.github.vigoo:zio-aws-costexplorer_2.13,3.15.33.3
com.yahoo.vespa:vespa-maven-plugin,7.335.22
com.lihaoyi:mill-scalanativelib-worker-0.4_2.12,0.8.0-8-0a8d46
com.github.andyglow:scala-jsonschema-parser_2.11,0.7.1
io.github.vigoo:zio-aws-dax_2.12,3.15.16.7
com.dimafeng:testcontainers-scala-presto_2.12,0.38.9
org.jpmml:pmml-model-jackson,1.5.3
com.amazonaws:aws-java-sdk-pinpoint,1.11.903
com.guicedee.services:jakarta.mail,1.0.19.7-jre14
com.oracle.oci.sdk:oci-java-sdk-objectstorage-extensions,1.34.0
io.taig:taigless-memoization_sjs1_2.13,0.2.6
io.github.vigoo:zio-aws-timestreamquery_2.13,3.15.53.2
io.github.vigoo:zio-aws-elasticloadbalancingv2_2.13,3.15.42.2
com.yahoo.vespa:zookeeper-server,7.347.28
org.springframework.amqp:spring-rabbit-junit,2.2.12.RELEASE
org.wso2.carbon.mediation:org.wso2.carbon.connector.core,4.7.86
io.github.vigoo:zio-aws-secretsmanager_2.12,3.15.53.2
cn.gjing:tools,2.7.5
io.github.vigoo:zio-aws-mediaconvert_2.13,3.15.66.3
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-lettuce-common,0.16.1
com.daml:bindings-scala_2.12,1.8.0-snapshot.20201124.5709.0.dabd55d0
com.vaadin:vaadin-tabs-flow-demo,2.2.1
software.amazon.awssdk:devicefarm,2.16.29
software.amazon.awssdk:emr,2.15.31
com.toast.android.gamebase:gamebase-adapter-purchase-ongate,2.9.1
org.wso2.carbon.identity.framework:thrift-authenticator,5.18.222
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.mgt.endpoint.util,5.20.6
com.alibaba.smart.framework:smart-engine-extension-storage-mysql,2.5.2.alpha0
love.forte.simple-robot:component-mirai,2.0.0-ALPHA.4
com.amazonaws:aws-java-sdk-alexaforbusiness,1.11.904
com.thoughtworks.dsl:keywords-get_sjs1_2.11,1.5.3+26-f0d74391
net.n2oapp.framework:n2o-react,7.10.7
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.configuration.mgt.endpoint,5.18.113
com.google.cloud:google-cloud-language,0.4.0
love.forte.simple-robot.serialization:json-core,2.0.3
com.amazonaws:aws-java-sdk-mediapackage,1.11.856
org.scala-sbt:scripted-sbt-redux_2.12,1.4.9
org.wso2.carbon.identity.governance:org.wso2.carbon.identity.user.rename.core,1.4.52
com.codacy:codacy-plugins-runner-binary_2.11,21.0.9_play_2.7
io.github.vigoo:zio-aws-mediastore_2.12,3.15.34.3
au.com.dius.pact.provider:spring,4.1.14
software.amazon.awssdk:groundstation,2.14.8
com.sap.cloud.sdk.plugins:usage-analytics-maven-plugin,3.35.0
io.github.vigoo:zio-aws-http4s_2.12,3.15.34.2
io.fabric8:knative-tests,4.11.2
com.lihaoyi:mill-contrib-twirllib_2.13,0.9.5-18-d932a1
com.amazonaws:aws-java-sdk-codeartifact,1.11.960
org.xwiki.commons:xwiki-commons-environment,13.1
com.liferay:com.liferay.analytics.settings.web,3.0.51
com.liferay:com.liferay.message.boards.service,3.0.48
org.aoju:bus-setting,6.2.0
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.api,6.8.142
org.wso2.carbon.apimgt:org.wso2.carbon.forum.feature,9.0.10
org.springframework:spring-core,5.3.0
io.github.vigoo:zio-aws-savingsplans_2.13,3.16.6.1
com.tencentcloudapi:tencentcloud-sdk-java-gaap,3.1.213
com.amazonaws:aws-java-sdk-cloudwatchmetrics,1.11.940
com.spotify:apollo-core,1.2.4
io.whelk.hy.phen:whelk-hy-phen-a-tion,0.1.9
com.toast.android:toast-dfp,0.14.1
software.amazon.awssdk:chime,2.15.19
com.yahoo.vespa:jdisc_messagebus_service,7.331.24
com.liferay.portal:com.liferay.portal.impl,3.54.4
io.quarkus:quarkus-elytron-security-ldap,1.11.0.Beta2
org.onosproject:onos-drivers-odtn-driver-oar,2.2.8-b2
io.github.vigoo:zio-aws-s3outposts_2.13,3.15.53.1
software.amazon.awssdk:cloudwatch,2.15.8
com.liferay:com.liferay.segments.asah.rest.impl,2.0.21
org.eclipse.dirigible:dirigible-ide-service-databases,5.6.0
com.google.api.grpc:grpc-google-cloud-websecurityscanner-v1beta,0.81.3
com.google.api.grpc:proto-google-cloud-containeranalysis-v1beta1,0.88.9
edu.ucr.cs.bdlab:commontest,0.9.0-RC2
com.liferay:com.liferay.commerce.punchout.oauth2.provider.api,2.1.0
software.amazon.awscdk:lambda,1.94.1
org.eclipse.scout.sdk.s2e:org.eclipse.scout.sdk.s2e.doc,10.0.38.0
com.jwebmp.plugins.jquery:jwebmp-block-ui,1.0.19.6-jre8
io.quarkus:quarkus-cache-deployment,1.11.1.Final
org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt.feature,5.18.165
software.amazon.awssdk:location,2.15.62
org.wso2.identity.apps:console,1.0.538
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.core.ui,5.18.101
com.liferay:com.liferay.journal.web,3.0.96
io.gravitee.gateway:gravitee-gateway-dictionary,3.5.4
top.dcenter:ums-mdc,2.2.33
software.amazon.awssdk:backup,2.16.11
com.lasmanis.maven.tiles:versions-maven,0.0.79
io.janstenpickle:trace4cats-opentelemetry-jaeger-exporter_2.12,0.7.0+178-5bb006fe
software.amazon.awscdk:cdk-customresources,1.64.1
software.amazon.awssdk:connect,2.15.0
com.softwaremill.sttp.tapir:tapir-json-upickle_2.13,0.17.0-M4
io.sealights.on-premise.agents.plugin:sealights-gradle-plugin,3.0.614
com.tencentcloudapi:tencentcloud-sdk-java-cwp,3.1.215
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.role.mgt.core.server.feature,5.19.31
io.taig:taigless-loader_2.13,0.2.13
de.quantummaid:documaid,0.9.43
org.wildfly.core:wildfly-core-dist-legacy,13.0.3.Final
io.github.vigoo:zio-aws-wafregional_2.13,3.15.70.1
org.noear:solon.extend.sessionstate.redis,1.3.17
org.opendaylight.controller:cds-dom-api,3.0.7
com.liferay.commerce:com.liferay.commerce.media.impl,3.0.2
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.gateway.feature,6.8.66
io.quarkus:quarkus-logging-json-parent,1.12.2.Final
com.softwaremill.sttp.client3:async-http-client-backend-cats_2.13,3.0.0-RC10
org.eclipse.rdf4j:rdf4j-queryresultio-testsuite,3.4.1
org.apereo.cas:cas-server-core-api-audit,6.3.2
org.gedcomx.extensions.familysearch:familysearch-api-client,2.119.0
com.tencentcloudapi:tencentcloud-sdk-java-cim,3.1.216
io.smallrye.config:smallrye-config-source-zookeeper,1.9.3
org.morphir:morphir-sdk-core_2.12,0.6.1
org.eclipse.dirigible:dirigible-server-runtime,5.8.3
com.ibm.cloud:platform-services-examples,0.16.0
io.debezium:debezium-testing-testcontainers,1.4.0.Beta1
org.wso2.carbon.identity.server.api:org.wso2.carbon.identity.api.server.oidc.scope.management.v1,1.0.199
com.liferay:com.liferay.login.web,5.0.19
io.quarkus:quarkus-mongodb-client,1.11.6.Final
org.wso2.carbon.identity.framework:org.wso2.carbon.idp.mgt.ui,5.18.205
com.liferay:com.liferay.html.preview.api,4.0.0
org.neo4j:neo4j-push-to-cloud,4.0.9
software.amazon.awssdk:backup,2.15.55
org.eclipse.dirigible:dirigible-template-mobile-hello-world,5.8.1
io.stargate.db:persistence-api,0.0.20
software.amazon.awssdk:location,2.16.18
org.sdase.commons:sda-commons-server-dropwizard,2.7.6
com.thesamet.scalapb:scalapb-runtime_sjs1_2.12,0.10.10-preview7
io.smallrye.reactive:reactive-streams-junit5-tck,0.8.1
org.wso2.identity.apps:org.wso2.identity.apps.common,1.0.476
com.liferay:com.liferay.asset.auto.tagger.opennlp.impl,2.0.21
com.google.cloud:google-cloud-accessapproval-bom,1.0.0
com.amazonaws:aws-java-sdk-gamelift,1.11.949
org.kodein.di:kodein-di-erased-mingwx64,6.3.1
software.amazon.awssdk:redshift,2.16.0
org.typelevel:cats-parse_2.12,0.1-adba187
io.quarkus:quarkus-kubernetes-parent,1.11.0.Beta1
com.softwaremill.sttp.client3:slf4j-backend_2.11,3.1.6
software.amazon.awssdk:guardduty,2.16.27
org.wso2.identity.apps:console,1.2.12
com.guicedee.services:ehcache,1.1.0.7
io.github.vigoo:zio-aws-cloudsearch_2.13,3.15.81.1
io.intercom.android:intercom-sdk-base-transitive,6.0.0
org.wso2.carbon.mediation:org.wso2.carbon.identity.xacml.mediator.feature,4.7.87
org.fomkin:korolev-effect_2.12,0.17-M2
io.github.vigoo:zio-aws-mq_2.13,3.16.20.3
com.amazonaws:aws-java-sdk-autoscaling,1.11.962
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.persistence.feature,8.2.7
org.wso2.identity.apps:myaccount,1.1.8
org.kie.workbench.screens:kie-wb-common-workbench-backend,7.44.0.Final
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.user.store.count,5.19.52
com.github.manosbatsis.corda.testacles:corda-testacles-testcontainers,0.10
dev.gradleplugins:gradle-test-kit,6.2
org.wso2.carbon:org.wso2.carbon.integration.tests.integration,4.6.2-m1
com.amazonaws:aws-java-sdk-forecastquery,1.11.875
com.day.crx:crx-api,2.3.0-alpha1
com.google.api.grpc:grpc-google-cloud-containeranalysis-v1,0.67.0
de.quantummaid:httpmaid-bom,0.9.103
com.toast.android:toast-unity-iap-core,0.16.2
io.janstenpickle:trace4cats-sttp-client_2.12,0.7.0
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.common,5.18.221
org.scala-lang:scala3-interfaces,3.0.0-RC1-bin-20210128-ce684de-NIGHTLY
ai.h2o:sparkling-water-package_2.11,3.32.0.4-1-2.2
io.github.vigoo:zio-aws-ecs_2.12,3.15.53.2
com.daml:participant-state-ledger-configuration-java-proto,1.6.0-snapshot.20201012.5316.0.d21cb496
org.apache.camel:camel-milo,3.5.0
org.typelevel:munit-cats-effect-2_2.12,0.9.0
com.lihaoyi:mill-contrib-testng_2.13,0.9.4-13-75bc5a
org.scala-sbt:util-position_2.13,1.4.3
io.github.vigoo:zio-aws-databrew_2.13,3.16.4.1
org.apereo.cas:cas-server-support-themes-core,6.3.0-RC3
io.get-coursier:coursier-scalaz-interop_2.13,2.0.3
com.google.api.grpc:proto-google-cloud-video-intelligence-v1beta1,0.68.0
org.apache.camel:camel-stomp,3.7.1
org.wso2.carbon.identity.framework:notification-mgt,5.18.206
io.contek.invoker:binancefutures-api,2.0.3
io.gravitee.gateway.standalone:gravitee-gateway-standalone-distribution-zip,3.0.9
org.optaplanner:optaplanner-wb-guided-rule-editor-client,7.49.0.Final
io.cloudslang:dependency-management,0.3.178
software.amazon.awssdk:route53resolver,2.16.22
com.lihaoyi:ammonite-sshd_2.12.7,2.2.0-6-ed7f361
com.google.api.grpc:proto-google-cloud-texttospeech-v1beta1,0.50.0
io.github.vigoo:zio-aws-iotdataplane_2.12,3.15.71.3
com.google.cloud:google-cloud-memcache-bom,0.2.0
io.github.vigoo:zio-aws-apigatewayv2_2.12,3.15.49.2
com.softwaremill.sttp.client3:json-common_sjs1_2.12,3.0.0-RC15
