number,coordinate,dependencies
25,io.hawt:hawtio-dozer:1.2.1,io.hawt:hawtio-dozer:1.2.1;org.slf4j:slf4j-api:1.6.6;io.hawt:hawtio-core:1.2.1;io.hawt:hawtio-util:1.2.1;io.hawt:hawtio-json-schema-mbean:1.2.1;javax.validation:validation-api:1.1.0.CR3;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.1.4;com.fasterxml.jackson.core:jackson-databind:2.1.4;com.fasterxml.jackson.core:jackson-annotations:2.1.4;com.fasterxml.jackson.core:jackson-core:2.1.4;net.sf.dozer:dozer:5.4.0;commons-beanutils:commons-beanutils:1.8.3;org.apache.commons:commons-lang3:3.1;org.slf4j:jcl-over-slf4j:1.6.6;org.slf4j:slf4j-log4j12:1.6.6;log4j:log4j:1.2.17;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
26,org.infinispan:infinispan-core:10.0.0.Beta5,org.infinispan:infinispan-core:10.0.0.Beta5;org.infinispan:infinispan-commons:10.0.0.Beta5;org.infinispan.protostream:protostream:4.3.0.Alpha9;com.google.protobuf:protobuf-java:3.6.1;com.squareup:protoparser:4.0.3;com.google.code.gson:gson:2.8.2;org.jgroups:jgroups:4.1.1.Final;com.github.ben-manes.caffeine:caffeine:2.6.2;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.1.1.Final;org.jboss.logging:jboss-logging:3.3.2.Final;io.reactivex.rxjava2:rxjava:2.2.9;org.reactivestreams:reactive-streams:1.0.2
27,io.hawt:hawtio-dozer:1.4.30,io.hawt:hawtio-dozer:1.4.30;org.slf4j:slf4j-api:1.6.6;io.hawt:hawtio-core:1.4.30;io.hawt:hawtio-util:1.4.30;io.hawt:hawtio-json-schema-mbean:1.4.30;javax.validation:validation-api:1.1.0.Final;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.4.1;com.fasterxml.jackson.core:jackson-databind:2.4.1;com.fasterxml.jackson.core:jackson-annotations:2.4.1;com.fasterxml.jackson.core:jackson-core:2.4.1;com.fasterxml.jackson.module:jackson-module-jsonSchema:2.4.1;net.sf.dozer:dozer:5.5.1;commons-beanutils:commons-beanutils:1.9.1;commons-collections:commons-collections:3.2.1;org.apache.commons:commons-lang3:3.2.1;org.slf4j:jcl-over-slf4j:1.7.5;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
28,org.infinispan:infinispan-core:8.1.5.Final,org.infinispan:infinispan-core:8.1.5.Final;org.infinispan:infinispan-commons:8.1.5.Final;org.jgroups:jgroups:3.6.4.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:1.4.10.Final;org.jboss.logging:jboss-logging:3.3.0.Final
29,org.infinispan:infinispan-core:10.0.0.Beta1,org.infinispan:infinispan-core:10.0.0.Beta1;org.infinispan:infinispan-commons:10.0.0.Beta1;org.jgroups:jgroups:4.0.17.Final;com.github.ben-manes.caffeine:caffeine:2.6.2;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.1.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:2.0.6.Final;org.jboss.logging:jboss-logging:3.3.2.Final;io.reactivex.rxjava2:rxjava:2.2.5;org.reactivestreams:reactive-streams:1.0.2
30,io.hawt:hawtio-dozer:1.4.34,io.hawt:hawtio-dozer:1.4.34;org.slf4j:slf4j-api:1.6.6;io.hawt:hawtio-core:1.4.34;io.hawt:hawtio-util:1.4.34;io.hawt:hawtio-json-schema-mbean:1.4.34;javax.validation:validation-api:1.1.0.Final;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.4.1;com.fasterxml.jackson.core:jackson-databind:2.4.1;com.fasterxml.jackson.core:jackson-annotations:2.4.1;com.fasterxml.jackson.core:jackson-core:2.4.1;com.fasterxml.jackson.module:jackson-module-jsonSchema:2.4.1;net.sf.dozer:dozer:5.5.1;commons-beanutils:commons-beanutils:1.9.1;commons-collections:commons-collections:3.2.1;org.apache.commons:commons-lang3:3.2.1;org.slf4j:jcl-over-slf4j:1.7.5;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
31,org.codehaus.plexus:plexus-component-annotations:1.7.1,org.codehaus.plexus:plexus-component-annotations:1.7.1
32,org.infinispan:infinispan-core:9.0.0.Alpha1,org.infinispan:infinispan-core:9.0.0.Alpha1;org.infinispan:infinispan-commons:9.0.0.Alpha1;org.jgroups:jgroups:3.6.7.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:1.4.10.Final;org.jboss.logging:jboss-logging:3.3.0.Final
33,org.infinispan:infinispan-core:10.0.0.CR2,org.infinispan:infinispan-core:10.0.0.CR2;org.infinispan:infinispan-commons:10.0.0.CR2;org.infinispan.protostream:protostream:4.3.0.Alpha11;org.jgroups:jgroups:4.1.4.Final;com.github.ben-manes.caffeine:caffeine:2.6.2;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.1.1.Final;org.jboss.logging:jboss-logging:3.4.0.Final;io.reactivex.rxjava2:rxjava:2.2.9;org.reactivestreams:reactive-streams:1.0.2
34,net.sourceforge.pmd:pmd-objectivec:6.4.0,net.sourceforge.pmd:pmd-objectivec:6.4.0;net.sourceforge.pmd:pmd-core:6.4.0;com.beust:jcommander:1.48;jaxen:jaxen:1.1.6;net.java.dev.javacc:javacc:5.0;net.sourceforge.saxon:saxon:9.1.0.8;org.apache.commons:commons-lang3:3.7;org.ow2.asm:asm:6.1.1;com.google.code.gson:gson:2.5;net.sourceforge.saxon:saxon:9.1.0.8;commons-io:commons-io:2.4
