number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
21,com.linkedin.pegasus:r2-jetty:2.1.0,org.jboss.netty:netty:3.2.3.Final,153,4035,67,39,89,39,39,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
22,com.linkedin.pegasus:r2-jetty:2.1.0,javax.mail:mail:1.4.1,62,2252,18,11,31,151,151,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
23,com.linkedin.pegasus:r2-jetty:2.1.0,javax.activation:activation:1.1,6,264,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
24,com.linkedin.pegasus:r2-jetty:2.1.0,org.iq80.snappy:snappy:0.3,163,152,48,121,105,341,341,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
25,com.linkedin.pegasus:r2-jetty:2.1.0,javax.servlet:javax.servlet-api:3.0.1,5,604,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
26,com.linkedin.pegasus:r2-jetty:2.1.0,org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106,354,9024,112,92,236,15,15,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016
27,com.linkedin.pegasus:r2-jetty:2.1.0,org.eclipse.jetty.orbit:javax.servlet:3.0.0.v201112011016,5,604,0,0,0,0,0,com.linkedin.pegasus:r2-jetty:2.1.0|org.slf4j:slf4j-api:1.6.2|com.linkedin.pegasus:r2:2.1.0|commons-io:commons-io:1.4|org.apache.mina:mina-core:1.1.7|org.apache.commons:commons-compress:1.2|commons-lang:commons-lang:2.4|com.linkedin.pegasus:data:2.1.0|org.json:json:20070829|com.fasterxml.jackson.core:jackson-core:2.4.3|com.linkedin.pegasus:pegasus-common:2.1.0|org.jboss.netty:netty:3.2.3.Final|javax.mail:mail:1.4.1|javax.activation:activation:1.1|org.iq80.snappy:snappy:0.3|javax.servlet:javax.servlet-api:3.0.1|org.eclipse.jetty.aggregate:jetty-all:8.1.8.v20121106
28,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,4,1372,0,0,0,0,0,com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
29,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.api-client:google-api-client:1.22.0,4,996,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
30,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.oauth-client:google-oauth-client:1.22.0,4,469,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
31,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.http-client:google-http-client:1.22.0,4,2007,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
32,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,org.apache.httpcomponents:httpclient:4.0.1,3,1233,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
33,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,org.apache.httpcomponents:httpcore:4.0.1,3,951,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
34,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,commons-logging:commons-logging:1.1.1,4,335,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
35,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,commons-codec:commons-codec:1.3,4,213,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
36,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.code.findbugs:jsr305:1.3.9,4,30,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
37,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.http-client:google-http-client-jackson2:1.22.0,4,50,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.fasterxml.jackson.core:jackson-core:2.1.3|com.google.guava:guava-jdk5:17.0
38,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.fasterxml.jackson.core:jackson-core:2.1.3,4,1383,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.google.guava:guava-jdk5:17.0
39,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0,com.google.guava:guava-jdk5:17.0,5,11984,0,0,0,0,0,com.google.apis:google-api-services-bigquerydatatransfer:v1-rev92-1.22.0|com.google.api-client:google-api-client:1.22.0|com.google.oauth-client:google-oauth-client:1.22.0|com.google.http-client:google-http-client:1.22.0|org.apache.httpcomponents:httpclient:4.0.1|org.apache.httpcomponents:httpcore:4.0.1|commons-logging:commons-logging:1.1.1|commons-codec:commons-codec:1.3|com.google.code.findbugs:jsr305:1.3.9|com.google.http-client:google-http-client-jackson2:1.22.0|com.fasterxml.jackson.core:jackson-core:2.1.3
