number,folder,opalOutput,opalCG,mergeOutput,CGPool,mergeCG
161,io.fixprotocol.orchestra:message-model:1.6.8,1,0,1,1,0
162,org.into-cps.maestro.plugins:fixedstepbuilder:2.1.4,1,0,1,1,1
163,org.eclipse.jetty.websocket:websocket-server:9.3.29.v20201019,1,1,1,1,1
164,org.apache.cayenne:cayenne-jgroups:4.2.M2,1,1,1,1,1
165,io.mantisrx:mantis-examples-jobconnector-sample:1.3.9,1,0,1,1,0
166,io.dekorate:kubernetes-thorntail-starter:0.14.1,1,0,1,1,0
167,com.bertramlabs.plugins:karman-grails:1.5.3,1,1,1,1,1
168,org.n52.sensorweb-server.sos:sos-enhanced-v20:6.0.0-PR.1,0,0,1,1,1
169,dev.zio:zio-test-intellij_sjs1_3.0.0-RC1:1.0.5,1,0,1,1,0
170,de.ibapl.spsw:de.ibapl.spsw.api:3.0.1,1,0,1,1,0
171,com.coditory.sherlock:sherlock-inmem-reactive:0.4.5,1,1,1,1,1
172,org.junit.platform:junit-platform-suite-api:1.6.3,1,0,1,1,0
173,com.github.takezoe:scala-retry_2.13:0.0.6,1,1,1,1,1
174,com.softwaremill.sttp.client:play-json_2.13:3.0.0-RC3,1,0,1,1,0
175,com.yandex.cloud:java-sdk-examples:2.2.1,1,0,1,1,0
176,org.apache.skywalking:kafka-fetcher-plugin:8.2.0,1,0,1,1,1
177,io.github.vigoo:zio-aws-codebuild_2.12:3.15.49.2,1,0,1,1,0
178,org.apache.omid:omid-common:1.0.2,1,0,1,1,1
179,com.akmetiuk:thera_2.13:0.2.0-M3,1,0,1,1,0
180,com.github.philippheuer.events4j:events4j-handler-reactor:0.9.0,1,0,1,1,0
181,org.apache.camel.quarkus:camel-quarkus-aws-sqs-deployment:1.5.0,1,0,1,1,1
182,com.busymachines:pureharm-rest-testkit-http4s-tapir_2.13:0.0.6,1,0,1,1,0
183,com.alilitech:boot-plus-generator:1.2.6,1,0,1,1,1
184,org.jbpm:jbpm-designer-client:7.48.0.Final,1,0,1,1,1
185,org.trellisldp:trellis-kafka:0.17.0,1,0,1,1,0
186,com.rpiaggio:scalajs-react-datepicker_sjs1_2.13:0.1.0,0,0,0,0,0
187,com.zsmartsystems.zigbee:com.zsmartsystems.zigbee.dongle.conbee:1.3.10,1,1,1,1,1
188,org.apache.camel.kafkaconnector:camel-lucene-kafka-connector:0.7.3,1,0,1,1,0
189,org.realityforge.shade:shade-cli:1.0.0,1,0,1,1,0
190,com.soywiz.korlibs.kbox2d:kbox2d-watchosx86:2.0.8,1,1,1,1,1
191,io.fluidsonic.raptor:raptor-bson:0.9.10,1,0,1,1,0
192,org.netbeans.api:org-netbeans-modules-debugger-jpda-truffle:RELEASE122,1,0,1,1,0
193,org.opencastproject:opencast-waveform-workflowoperation:9.2,1,0,1,1,1
194,com.17jee:e-cloud-gateway:3.0.1.10,1,0,1,1,1
195,org.springframework.cloud:spring-cloud-gcp-starter-cloudfoundry:1.2.7.RELEASE,1,0,1,1,1
196,org.basepom.maven:dependency-versions-check-maven-plugin:3.0.0,1,0,1,1,1
197,fr.ybonnel:simpleweb4j-test:0.0.1,1,1,1,1,1
198,org.apache.activemq:artemis-jms-client-osgi:2.17.0,1,1,1,1,1
199,org.rogach:scallop_3.0.0-M3:4.0.1,1,0,1,1,0
200,io.github.iamazy.elasticsearch.dsl:elasticsearch-sql-core:7.9.3,1,0,1,1,1
201,org.opendaylight.bgpcep:pcep-topology-stats:0.14.3,1,0,1,1,1
202,com.helger.bdve:ph-bdve-api:6.0.4,1,1,1,1,1
203,com.netflix.denominator:denominator-clouddns:1.1.4,1,1,1,1,1
204,io.trino:trino-druid:353,1,0,1,1,1
205,com.netflix.denominator:denominator-clouddns:1.1.0,1,1,1,1,1
206,se.jguru.shared.json.jackson.example:jguru-shared-json-jackson-example:0.11.0,1,0,1,1,1
207,com.celeral:utils:2.1.0,1,1,1,1,1
208,org.eclipse.dirigible:dirigible-resources-mxgraph:5.6.0,1,0,1,1,1
209,com.thesamet.scalapb:scalapb-runtime-grpc_3.0.0-M3:0.11.0-M5,1,0,1,1,0
210,io.kotest:kotest-assertions-json:4.4.0,1,1,1,1,1
211,org.onosproject:onos-apps-openstacknetworking-routing:1.8.2,1,0,1,1,1
212,io.zipkin.aws:brave-instrumentation-aws-java-sdk-v2-core:0.23.1,1,1,1,1,1
213,org.logevents:logevents:0.1.34,1,1,1,1,1
214,com.oath.microservices:micro-metrics:1.2.5,1,0,1,1,1
215,org.eclipse.ditto:ditto-json-cbor:1.2.1,1,1,1,1,1
216,org.cloudfoundry.multiapps:multiapps-common-test:2.5.1,1,0,1,1,1
217,net.databinder:dispatch-mime_2.11:0.8.10,1,1,1,1,1
218,org.seleniumhq.selenium:selenium-ie-driver:3.12.0,1,1,1,1,1
219,org.apache.camel.springboot:camel-jing-starter:3.4.5,1,0,0,0,0
220,com.sap.cds:cds-feature-mt:1.14.0,1,0,1,1,1
221,com.amazonaws:aws-java-sdk-eventbridge:1.11.875,1,1,1,1,1
222,com.sqlapp:sqlapp-core-sqlserver:0.8.19,1,1,1,1,1
223,com.teradata.tempto:tempto-core:1.0.35,1,0,1,1,1
224,com.github.618lf:swak-redis:1.1.1_final,1,0,1,1,1
225,org.springframework.cloud.stream.app:rsocket-sink-kafka:3.0.0,1,0,0,0,0
226,com.gu:marley_2.12:0.2.13,1,0,1,1,1
227,io.opentelemetry.instrumentation:opentelemetry-aws-lambda-1.0:0.12.1,1,1,1,1,1
228,org.opencastproject:opencast-statistics-service-api:9.1,1,1,1,1,1
229,org.locationtech.geomesa:geomesa-geojson-rest_2.11:2.3.3,1,0,1,1,1
230,net.officefloor.reactor:officereactor:3.28.1,1,1,1,1,1
231,org.netbeans.api:org-netbeans-modules-autoupdate-ui:RELEASE121,1,1,1,1,1
232,org.wso2.carbon.mediation:org.wso2.carbon.priority.executors.ui:4.7.77,1,0,1,1,1
